name,price,one_hr,one_day,one_week,market_cap,volume,circ_supply,week,custom_index
Bitcoin,"$30,699.66",0.11,0.37,1.42,"$596,710,102,081","$10,578,870,857","19,418,337",https://coinmarketcap.com/currencies/bitcoin/?period=7d,276005.77
Ethereum,"$1,941.85",0.11,1.03,3.13,"$234,116,048,242","$6,396,041,767","120,218,755",https://coinmarketcap.com/currencies/ethereum/?period=7d,3773634.58
Tether,$0.9999,-0.02,-0.02,-0.05,"$83,351,907,856","$20,142,450,693","83,341,708,027",https://coinmarketcap.com/currencies/tether/?period=7d,-416801.22
BNB,$246.58,0.0,-0.33,4.7,"$38,488,278,639","$507,699,496","155,850,974",https://coinmarketcap.com/currencies/bnb/?period=7d,7336154.98
USD Coin,$0.9999,-0.02,-0.02,-0.01,"$27,385,753,980","$2,582,444,213","27,392,427,870",https://coinmarketcap.com/currencies/usd-coin/?period=7d,-27388.49
XRP,$0.4823,-0.41,1.92,-0.91,"$25,213,260,825","$1,157,542,408","52,254,289,650",https://coinmarketcap.com/currencies/xrp/?period=7d,-4757219.02
Cardano,$0.2916,-0.33,0.09,1.35,"$10,207,345,158","$187,751,897","34,949,879,292",https://coinmarketcap.com/currencies/cardano/?period=7d,4725622.76
Dogecoin,$0.06779,-0.18,-0.02,3.07,"$9,510,439,208","$343,383,838","140,013,696,384",https://coinmarketcap.com/currencies/dogecoin/?period=7d,4306984.57
Litecoin,$113.37,0.75,6.16,30.28,"$8,384,464,773","$1,718,150,601","73,276,977",https://coinmarketcap.com/currencies/litecoin/?period=7d,22394071.92
Solana,$19.34,-0.63,2.89,15.94,"$7,788,430,786","$479,488,685","400,893,819",https://coinmarketcap.com/currencies/solana/?period=7d,64192133.78
TRON,$0.07605,0.22,-1.46,4.54,"$6,842,418,752","$141,225,124","89,909,195,258",https://coinmarketcap.com/currencies/tron/?period=7d,4084757.55
Polkadot,$5.54,0.44,3.91,8.55,"$6,667,512,320","$162,906,046","1,201,018,265",https://coinmarketcap.com/currencies/polkadot-new/?period=7d,102901137.79
Polygon,$0.6809,-0.33,0.84,4.14,"$6,371,316,354","$250,495,992","9,319,469,069",https://coinmarketcap.com/currencies/polygon/?period=7d,3873880.12
Bitcoin Cash,$296.43,-0.03,4.34,56.16,"$5,804,580,196","$1,370,641,736","19,438,213",https://coinmarketcap.com/currencies/bitcoin-cash/?period=7d,10997038.89
Toncoin,$1.43,-0.34,1.58,-0.04,"$4,909,534,827","$9,277,600","3,431,892,088",https://coinmarketcap.com/currencies/toncoin/?period=7d,-1373296.46
Wrapped Bitcoin,"$30,652.29",0.06,0.24,1.61,"$4,815,380,966","$98,334,502","157,076",https://coinmarketcap.com/currencies/wrapped-bitcoin/?period=7d,2529.26
Dai,$1.00,0.02,0.01,0.02,"$4,648,553,942","$93,570,507","4,647,521,448",https://coinmarketcap.com/currencies/multi-collateral-dai/?period=7d,929710.79
Avalanche,$13.15,0.17,1.66,-0.48,"$4,557,688,340","$138,944,556","345,635,799",https://coinmarketcap.com/currencies/avalanche/?period=7d,-1663642.89
Shiba Inu,$0.0...07665,0.15,0.69,-0.72,"$4,531,090,809","$102,358,416","589,347,994,264,351",https://coinmarketcap.com/currencies/shiba-inu/?period=7d,-425621.05
Binance USD,$1.00,0.0,0.01,0.0,"$4,134,411,201","$2,233,144,665","4,132,947,952",https://coinmarketcap.com/currencies/binance-usd/?period=7d,0.0
UNUS SED LEO,$3.93,0.52,-5.66,2.28,"$3,676,579,338","$1,794,682","929,938,144",https://coinmarketcap.com/currencies/unus-sed-leo/?period=7d,21329773.26
Chainlink,$6.53,-0.66,1.27,7.0,"$3,513,272,052","$227,607,605","538,099,970",https://coinmarketcap.com/currencies/chainlink/?period=7d,37661415.57
